m,run_time,n,d,n_cluster,seed
2,0.08820509910583496,10000.0,1.0,1.0,0.0
3,0.08899092674255371,10000.0,1.0,1.0,0.0
4,0.09173107147216797,10000.0,1.0,1.0,0.0
5,0.0896613597869873,10000.0,1.0,1.0,0.0
6,0.09182000160217285,10000.0,1.0,1.0,0.0
7,0.09416818618774414,10000.0,1.0,1.0,0.0
8,0.09534215927124023,10000.0,1.0,1.0,0.0
9,0.09972810745239258,10000.0,1.0,1.0,0.0
10,0.10528993606567383,10000.0,1.0,1.0,0.0
2,0.09000921249389648,10000.0,1.0,1.0,1.0
3,0.08745813369750977,10000.0,1.0,1.0,1.0
4,0.09035801887512207,10000.0,1.0,1.0,1.0
5,0.0903470516204834,10000.0,1.0,1.0,1.0
6,0.09177398681640625,10000.0,1.0,1.0,1.0
7,0.09567379951477051,10000.0,1.0,1.0,1.0
8,0.09631800651550293,10000.0,1.0,1.0,1.0
9,0.09602999687194824,10000.0,1.0,1.0,1.0
10,0.10422611236572266,10000.0,1.0,1.0,1.0
2,0.0885612964630127,10000.0,1.0,1.0,2.0
3,0.08826375007629395,10000.0,1.0,1.0,2.0
4,0.08932304382324219,10000.0,1.0,1.0,2.0
5,0.09069514274597168,10000.0,1.0,1.0,2.0
6,0.09048771858215332,10000.0,1.0,1.0,2.0
7,0.09497690200805664,10000.0,1.0,1.0,2.0
8,0.09724020957946777,10000.0,1.0,1.0,2.0
9,0.09821867942810059,10000.0,1.0,1.0,2.0
10,0.10291290283203125,10000.0,1.0,1.0,2.0
2,0.08950686454772949,10000.0,1.0,1.0,3.0
3,0.08989500999450684,10000.0,1.0,1.0,3.0
4,0.09332585334777832,10000.0,1.0,1.0,3.0
5,0.09004902839660645,10000.0,1.0,1.0,3.0
6,0.09230899810791016,10000.0,1.0,1.0,3.0
7,0.09371399879455566,10000.0,1.0,1.0,3.0
8,0.09517312049865723,10000.0,1.0,1.0,3.0
9,0.09902000427246094,10000.0,1.0,1.0,3.0
10,0.1047220230102539,10000.0,1.0,1.0,3.0
2,0.08660697937011719,10000.0,1.0,1.0,4.0
3,0.0882728099822998,10000.0,1.0,1.0,4.0
4,0.09009718894958496,10000.0,1.0,1.0,4.0
5,0.0888071060180664,10000.0,1.0,1.0,4.0
6,0.09043574333190918,10000.0,1.0,1.0,4.0
7,0.09531593322753906,10000.0,1.0,1.0,4.0
8,0.09531402587890625,10000.0,1.0,1.0,4.0
9,0.09830689430236816,10000.0,1.0,1.0,4.0
10,0.10318684577941895,10000.0,1.0,1.0,4.0
2,0.08781909942626953,10000.0,1.0,1.0,5.0
3,0.08914899826049805,10000.0,1.0,1.0,5.0
4,0.09061694145202637,10000.0,1.0,1.0,5.0
5,0.09103727340698242,10000.0,1.0,1.0,5.0
6,0.09130001068115234,10000.0,1.0,1.0,5.0
7,0.09468698501586914,10000.0,1.0,1.0,5.0
8,0.09531593322753906,10000.0,1.0,1.0,5.0
9,0.09779214859008789,10000.0,1.0,1.0,5.0
10,0.10356998443603516,10000.0,1.0,1.0,5.0
2,0.08718109130859375,10000.0,1.0,1.0,6.0
3,0.08841490745544434,10000.0,1.0,1.0,6.0
4,0.08966183662414551,10000.0,1.0,1.0,6.0
5,0.09005022048950195,10000.0,1.0,1.0,6.0
6,0.09078383445739746,10000.0,1.0,1.0,6.0
7,0.09365105628967285,10000.0,1.0,1.0,6.0
8,0.09691810607910156,10000.0,1.0,1.0,6.0
9,0.09801816940307617,10000.0,1.0,1.0,6.0
10,0.10227298736572266,10000.0,1.0,1.0,6.0
2,0.08763289451599121,10000.0,1.0,1.0,7.0
3,0.08683204650878906,10000.0,1.0,1.0,7.0
4,0.09011101722717285,10000.0,1.0,1.0,7.0
5,0.09060811996459961,10000.0,1.0,1.0,7.0
6,0.09182906150817871,10000.0,1.0,1.0,7.0
7,0.09436583518981934,10000.0,1.0,1.0,7.0
8,0.09570622444152832,10000.0,1.0,1.0,7.0
9,0.09867691993713379,10000.0,1.0,1.0,7.0
10,0.10457992553710938,10000.0,1.0,1.0,7.0
2,0.08756589889526367,10000.0,1.0,1.0,8.0
3,0.0886988639831543,10000.0,1.0,1.0,8.0
4,0.09013676643371582,10000.0,1.0,1.0,8.0
5,0.09002423286437988,10000.0,1.0,1.0,8.0
6,0.09084296226501465,10000.0,1.0,1.0,8.0
7,0.09369111061096191,10000.0,1.0,1.0,8.0
8,0.0950169563293457,10000.0,1.0,1.0,8.0
9,0.09858512878417969,10000.0,1.0,1.0,8.0
10,0.10239839553833008,10000.0,1.0,1.0,8.0
2,0.08716106414794922,10000.0,1.0,1.0,9.0
3,0.08850622177124023,10000.0,1.0,1.0,9.0
4,0.08988022804260254,10000.0,1.0,1.0,9.0
5,0.09012031555175781,10000.0,1.0,1.0,9.0
6,0.09169292449951172,10000.0,1.0,1.0,9.0
7,0.0949099063873291,10000.0,1.0,1.0,9.0
8,0.09550213813781738,10000.0,1.0,1.0,9.0
9,0.09898805618286133,10000.0,1.0,1.0,9.0
10,0.10338687896728516,10000.0,1.0,1.0,9.0
