"seed","m","run"
0,2,19.6016411781311
0,3,21.2573719024658
0,4,38.0297510623932
0,5,134.303239107132
1,2,18.529070854187
1,3,27.1789031028748
1,4,37.5332198143005
1,5,176.021291017532
2,2,17.4426589012146
2,3,20.9039218425751
2,4,37.5450668334961
2,5,176.378156900406
3,2,14.875364780426
3,3,27.3507878780365
3,4,45.7636020183563
3,5,217.695352077484
4,2,21.2142400741577
4,3,24.6227660179138
4,4,37.4661030769348
4,5,175.949043989182
5,2,22.2697761058807
5,3,30.9840469360352
5,4,46.4147570133209
5,5,133.359231948853
6,2,17.2521159648895
6,3,21.0504500865936
6,4,36.5688989162445
6,5,132.777705907822
7,2,18.483372926712
7,3,23.6125221252441
7,4,45.4012060165405
7,5,134.165040016174
8,2,16.7295219898224
8,3,21.6806869506836
8,4,47.2752900123596
8,5,177.882683038712
9,2,20.6210730075836
9,3,21.5685889720917
9,4,46.9821009635925
9,5,135.16489315033
