m,run_time,n,d,n_cluster,seed
2,0.08713603019714355,10000.0,1.0,1.0,0.0
3,0.08609700202941895,10000.0,1.0,1.0,0.0
4,0.0906980037689209,10000.0,1.0,1.0,0.0
5,0.08699297904968262,10000.0,1.0,1.0,0.0
6,0.08919811248779297,10000.0,1.0,1.0,0.0
7,0.09012699127197266,10000.0,1.0,1.0,0.0
8,0.09463787078857422,10000.0,1.0,1.0,0.0
9,0.09721899032592773,10000.0,1.0,1.0,0.0
10,0.10065197944641113,10000.0,1.0,1.0,0.0
2,0.0860898494720459,10000.0,1.0,1.0,1.0
3,0.08552789688110352,10000.0,1.0,1.0,1.0
4,0.08730387687683105,10000.0,1.0,1.0,1.0
5,0.08889317512512207,10000.0,1.0,1.0,1.0
6,0.08997106552124023,10000.0,1.0,1.0,1.0
7,0.09260201454162598,10000.0,1.0,1.0,1.0
8,0.09398579597473145,10000.0,1.0,1.0,1.0
9,0.09567999839782715,10000.0,1.0,1.0,1.0
10,0.10076904296875,10000.0,1.0,1.0,1.0
2,0.08725595474243164,10000.0,1.0,1.0,2.0
3,0.08590888977050781,10000.0,1.0,1.0,2.0
4,0.08787703514099121,10000.0,1.0,1.0,2.0
5,0.08841180801391602,10000.0,1.0,1.0,2.0
6,0.09140205383300781,10000.0,1.0,1.0,2.0
7,0.0919041633605957,10000.0,1.0,1.0,2.0
8,0.09473109245300293,10000.0,1.0,1.0,2.0
9,0.09742116928100586,10000.0,1.0,1.0,2.0
10,0.10096406936645508,10000.0,1.0,1.0,2.0
2,0.08586883544921875,10000.0,1.0,1.0,3.0
3,0.0883331298828125,10000.0,1.0,1.0,3.0
4,0.08859586715698242,10000.0,1.0,1.0,3.0
5,0.08805298805236816,10000.0,1.0,1.0,3.0
6,0.09124302864074707,10000.0,1.0,1.0,3.0
7,0.0925602912902832,10000.0,1.0,1.0,3.0
8,0.09458303451538086,10000.0,1.0,1.0,3.0
9,0.09937405586242676,10000.0,1.0,1.0,3.0
10,0.10144209861755371,10000.0,1.0,1.0,3.0
2,0.08704614639282227,10000.0,1.0,1.0,4.0
3,0.08666610717773438,10000.0,1.0,1.0,4.0
4,0.08921694755554199,10000.0,1.0,1.0,4.0
5,0.08781623840332031,10000.0,1.0,1.0,4.0
6,0.09026718139648438,10000.0,1.0,1.0,4.0
7,0.09197688102722168,10000.0,1.0,1.0,4.0
8,0.09557294845581055,10000.0,1.0,1.0,4.0
9,0.09792208671569824,10000.0,1.0,1.0,4.0
10,0.10207200050354004,10000.0,1.0,1.0,4.0
2,0.08689093589782715,10000.0,1.0,1.0,5.0
3,0.08556509017944336,10000.0,1.0,1.0,5.0
4,0.08631014823913574,10000.0,1.0,1.0,5.0
5,0.08712887763977051,10000.0,1.0,1.0,5.0
6,0.0878610610961914,10000.0,1.0,1.0,5.0
7,0.09264206886291504,10000.0,1.0,1.0,5.0
8,0.09366178512573242,10000.0,1.0,1.0,5.0
9,0.09765291213989258,10000.0,1.0,1.0,5.0
10,0.1015012264251709,10000.0,1.0,1.0,5.0
2,0.08681297302246094,10000.0,1.0,1.0,6.0
3,0.08686995506286621,10000.0,1.0,1.0,6.0
4,0.08972787857055664,10000.0,1.0,1.0,6.0
5,0.08832788467407227,10000.0,1.0,1.0,6.0
6,0.09032702445983887,10000.0,1.0,1.0,6.0
7,0.09186792373657227,10000.0,1.0,1.0,6.0
8,0.09457993507385254,10000.0,1.0,1.0,6.0
9,0.09744691848754883,10000.0,1.0,1.0,6.0
10,0.1011347770690918,10000.0,1.0,1.0,6.0
2,0.08553099632263184,10000.0,1.0,1.0,7.0
3,0.08654594421386719,10000.0,1.0,1.0,7.0
4,0.0887451171875,10000.0,1.0,1.0,7.0
5,0.08880615234375,10000.0,1.0,1.0,7.0
6,0.08984708786010742,10000.0,1.0,1.0,7.0
7,0.09198403358459473,10000.0,1.0,1.0,7.0
8,0.09399700164794922,10000.0,1.0,1.0,7.0
9,0.09739303588867188,10000.0,1.0,1.0,7.0
10,0.10184288024902344,10000.0,1.0,1.0,7.0
2,0.08699893951416016,10000.0,1.0,1.0,8.0
3,0.0870671272277832,10000.0,1.0,1.0,8.0
4,0.09003686904907227,10000.0,1.0,1.0,8.0
5,0.08842802047729492,10000.0,1.0,1.0,8.0
6,0.0889890193939209,10000.0,1.0,1.0,8.0
7,0.09045600891113281,10000.0,1.0,1.0,8.0
8,0.09295105934143066,10000.0,1.0,1.0,8.0
9,0.09618592262268066,10000.0,1.0,1.0,8.0
10,0.09962177276611328,10000.0,1.0,1.0,8.0
2,0.08561992645263672,10000.0,1.0,1.0,9.0
3,0.08513021469116211,10000.0,1.0,1.0,9.0
4,0.08684992790222168,10000.0,1.0,1.0,9.0
5,0.08759617805480957,10000.0,1.0,1.0,9.0
6,0.08897805213928223,10000.0,1.0,1.0,9.0
7,0.09063220024108887,10000.0,1.0,1.0,9.0
8,0.09353780746459961,10000.0,1.0,1.0,9.0
9,0.09639191627502441,10000.0,1.0,1.0,9.0
10,0.09897208213806152,10000.0,1.0,1.0,9.0
