"seed","m","run"
0,2,10.7832000255585
0,3,11.1979069709778
0,4,12.828574180603
0,5,22.4227178096771
0,6,97.3543021678925
1,2,10.714038848877
1,3,11.0976009368896
1,4,12.5855619907379
1,5,22.3421359062195
1,6,96.9970309734344
2,2,10.8371469974518
2,3,11.3954470157623
2,4,13.0566310882568
2,5,22.7568700313568
2,6,97.7294778823853
3,2,11.9339311122894
3,3,14.4093029499054
3,4,21.7708649635315
3,5,22.7822539806366
3,6,403.113350868225
4,2,10.8027889728546
4,3,11.192412853241
4,4,12.807489156723
4,5,22.2532122135162
4,6,97.540981054306
5,2,12.0453960895538
5,3,11.2427089214325
5,4,21.8145279884338
5,5,65.7529518604279
5,6,402.468754053116
6,2,10.7761840820312
6,3,11.2795870304108
6,4,12.6555280685425
6,5,22.2043569087982
6,6,97.320818901062
7,2,10.8639709949493
7,3,11.3457551002502
7,4,13.6598470211029
7,5,22.7105638980865
7,6,98.2127640247345
8,2,12.0725719928741
8,3,11.3289389610291
8,4,21.8820929527283
8,5,66.1291379928589
8,6,406.792438030243
9,2,11.0175862312317
9,3,11.6289398670197
9,4,13.0802631378174
9,5,23.1274209022522
9,6,98.5217959880829
