m,run_time,n,d,n_cluster,seed
2,8.754690885543823,10000.0,1.0,1.0,0.0
3,8.716212034225464,10000.0,1.0,1.0,0.0
4,8.708770036697388,10000.0,1.0,1.0,0.0
5,9.100570917129517,10000.0,1.0,1.0,0.0
6,9.090559959411621,10000.0,1.0,1.0,0.0
7,9.523465871810913,10000.0,1.0,1.0,0.0
8,9.870163917541504,10000.0,1.0,1.0,0.0
9,10.23934006690979,10000.0,1.0,1.0,0.0
10,10.830063104629517,10000.0,1.0,1.0,0.0
2,8.594132900238037,10000.0,1.0,1.0,1.0
3,8.572492122650146,10000.0,1.0,1.0,1.0
4,8.75936484336853,10000.0,1.0,1.0,1.0
5,8.858812808990479,10000.0,1.0,1.0,1.0
6,9.105422735214233,10000.0,1.0,1.0,1.0
7,9.317996978759766,10000.0,1.0,1.0,1.0
8,9.738906145095825,10000.0,1.0,1.0,1.0
9,9.876481056213379,10000.0,1.0,1.0,1.0
10,10.763067722320557,10000.0,1.0,1.0,1.0
2,8.505829095840454,10000.0,1.0,1.0,2.0
3,8.491407871246338,10000.0,1.0,1.0,2.0
4,8.75609302520752,10000.0,1.0,1.0,2.0
5,8.891461849212646,10000.0,1.0,1.0,2.0
6,9.094517946243286,10000.0,1.0,1.0,2.0
7,9.504267930984497,10000.0,1.0,1.0,2.0
8,9.75566816329956,10000.0,1.0,1.0,2.0
9,10.193357944488525,10000.0,1.0,1.0,2.0
10,10.748179912567139,10000.0,1.0,1.0,2.0
2,8.536623239517212,10000.0,1.0,1.0,3.0
3,8.606803894042969,10000.0,1.0,1.0,3.0
4,8.708622217178345,10000.0,1.0,1.0,3.0
5,8.843655109405518,10000.0,1.0,1.0,3.0
6,9.058902025222778,10000.0,1.0,1.0,3.0
7,9.350863218307495,10000.0,1.0,1.0,3.0
8,9.708549976348877,10000.0,1.0,1.0,3.0
9,10.185946941375732,10000.0,1.0,1.0,3.0
10,10.807629108428955,10000.0,1.0,1.0,3.0
2,8.579877853393555,10000.0,1.0,1.0,4.0
3,8.60481595993042,10000.0,1.0,1.0,4.0
4,8.77606201171875,10000.0,1.0,1.0,4.0
5,9.056777954101562,10000.0,1.0,1.0,4.0
6,9.253168821334839,10000.0,1.0,1.0,4.0
7,9.655911922454834,10000.0,1.0,1.0,4.0
8,9.897911071777344,10000.0,1.0,1.0,4.0
9,10.414822816848755,10000.0,1.0,1.0,4.0
10,10.85274600982666,10000.0,1.0,1.0,4.0
2,8.789627313613892,10000.0,1.0,1.0,5.0
3,8.707449913024902,10000.0,1.0,1.0,5.0
4,8.742953777313232,10000.0,1.0,1.0,5.0
5,8.943818092346191,10000.0,1.0,1.0,5.0
6,9.155252933502197,10000.0,1.0,1.0,5.0
7,9.467749118804932,10000.0,1.0,1.0,5.0
8,9.873475790023804,10000.0,1.0,1.0,5.0
9,10.29672384262085,10000.0,1.0,1.0,5.0
10,10.849353790283203,10000.0,1.0,1.0,5.0
2,8.637593984603882,10000.0,1.0,1.0,6.0
3,8.646262884140015,10000.0,1.0,1.0,6.0
4,8.818978071212769,10000.0,1.0,1.0,6.0
5,8.910027027130127,10000.0,1.0,1.0,6.0
6,9.179082870483398,10000.0,1.0,1.0,6.0
7,9.38809084892273,10000.0,1.0,1.0,6.0
8,9.795653104782104,10000.0,1.0,1.0,6.0
9,10.243960857391357,10000.0,1.0,1.0,6.0
10,10.74366807937622,10000.0,1.0,1.0,6.0
2,8.573642015457153,10000.0,1.0,1.0,7.0
3,8.675376892089844,10000.0,1.0,1.0,7.0
4,8.6855788230896,10000.0,1.0,1.0,7.0
5,8.903755903244019,10000.0,1.0,1.0,7.0
6,9.190786838531494,10000.0,1.0,1.0,7.0
7,9.455278158187866,10000.0,1.0,1.0,7.0
8,9.759016990661621,10000.0,1.0,1.0,7.0
9,10.220349073410034,10000.0,1.0,1.0,7.0
10,10.85324215888977,10000.0,1.0,1.0,7.0
2,8.645719051361084,10000.0,1.0,1.0,8.0
3,8.63987684249878,10000.0,1.0,1.0,8.0
4,8.73624300956726,10000.0,1.0,1.0,8.0
5,8.935696125030518,10000.0,1.0,1.0,8.0
6,9.129539966583252,10000.0,1.0,1.0,8.0
7,9.407865762710571,10000.0,1.0,1.0,8.0
8,9.767952680587769,10000.0,1.0,1.0,8.0
9,10.271415948867798,10000.0,1.0,1.0,8.0
10,10.86142897605896,10000.0,1.0,1.0,8.0
2,8.59011197090149,10000.0,1.0,1.0,9.0
3,8.59678316116333,10000.0,1.0,1.0,9.0
4,8.734743118286133,10000.0,1.0,1.0,9.0
5,8.851239919662476,10000.0,1.0,1.0,9.0
6,9.166326999664307,10000.0,1.0,1.0,9.0
7,9.432748794555664,10000.0,1.0,1.0,9.0
8,9.765439987182617,10000.0,1.0,1.0,9.0
9,10.253781080245972,10000.0,1.0,1.0,9.0
10,10.73625898361206,10000.0,1.0,1.0,9.0
