init,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,250,3,3,2,-478.3716736261691,"[[0.68372803 0.39428735 0.2975391 ]
 [0.08348481 0.30118617 0.46262178]
 [0.78244098 0.69865678 0.1879145 ]]","[[1 2 2]
 [1 2 2]
 [2 2 2]]",[0.3671322  0.32469916 0.30816864],4.470224857330322,0.0929894967680337,0.0,0.04285252034777598
kmeans,250,3,3,2,-478.53962763290764,"[[1.         0.43479171 1.        ]
 [1.         0.32740363 1.        ]
 [0.04764054 0.57495848 1.        ]]","[[2 2 2]
 [1 2 2]
 [2 2 1]]",[0.304 0.352 0.344],4.488807916641235,0.11119005522656895,0.16666666666666666,0.34737525210314013
random,250,3,3,3,-709.6945992054095,"[[0.97120364 0.47219082 0.81714386]
 [0.53081759 0.56714416 0.93453015]
 [0.06699445 0.11639039 0.01996667]]","[[1 2 1]
 [2 2 3]
 [3 3 1]]",[0.34461507 0.34646074 0.30892418],36.0079460144043,0.02785042002348409,0.2222222222222222,0.013212310168580278
kmeans,250,3,3,3,-710.7058556401047,"[[0.47101777 0.53989479 1.        ]
 [0.09841515 0.14221283 0.13551965]
 [1.         0.49490899 0.80290393]]","[[2 2 3]
 [2 3 1]
 [1 2 1]]",[0.34648558 0.32018742 0.333327  ],107.12821793556213,0.011581875044573161,0.4444444444444444,0.205787633480281
random,250,3,5,2,-772.0404739220116,"[[0.13499014 0.22306209 0.52481322 0.8204022  0.51788104]
 [0.46181213 0.89800894 0.39663032 0.67107519 0.44390011]
 [0.89014534 0.11833613 0.78580152 0.64073701 0.72884078]]","[[1 2 2 1 2]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.35133257 0.28627168 0.36239576],11.507143259048462,0.03209963413223382,0.0,0.02143143137182644
kmeans,250,3,5,2,-788.1250962052452,"[[0.94514611 0.10967488 0.95114024 0.79142869 0.92423336]
 [1.         0.23222031 0.77681986 0.99603024 0.88950794]
 [0.47111093 0.41519235 0.04464295 0.10288961 0.03765706]]","[[2 1 1 2 1]
 [1 2 2 1 2]
 [2 2 2 2 2]]",[0.18373201 0.10905997 0.70720802],11.006065845489502,0.13275059738462497,0.2,0.1981692562027665
random,250,3,5,3,-1146.6044186036895,"[[0.63042889 0.98302707 0.06823016 0.11294222 0.03323523]
 [0.82582851 0.63983895 0.86881582 0.87990008 0.60267693]
 [0.43236618 0.68305778 0.13427965 0.60970326 0.11604596]]","[[1 2 2 2 1]
 [3 1 3 1 1]
 [1 3 2 3 3]]",[0.46166471 0.32892504 0.20941026],114.94531893730164,0.020608054228859918,0.06666666666666667,0.019547975315586667
kmeans,250,3,5,3,-1166.6116986175334,"[[0.47016275 0.29395385 0.17749677 0.36465878 0.12040714]
 [0.67295331 0.96297886 0.11922105 0.20122048 0.18412979]
 [0.85108494 0.62704857 0.88538071 0.89058487 0.60590114]]","[[1 3 2 3 2]
 [1 2 1 1 1]
 [3 1 3 1 1]]",[0.37210723 0.31230226 0.31559051],172.5627818107605,0.052024506717905726,0.26666666666666666,0.10829053969824386
random,250,5,3,2,-475.31235030114124,"[[0.04780223 0.32016546 0.4719373 ]
 [0.79384488 0.52509607 0.43341451]
 [0.84548338 0.39657921 0.61461786]
 [0.44600082 0.96225316 0.1409577 ]
 [0.82931877 0.43649833 0.77446495]]","[[2 2 2]
 [1 2 2]
 [2 2 2]
 [2 2 1]
 [1 2 1]]",[0.20007511 0.19407483 0.21032608 0.22489452 0.17062946],3.1387999057769775,0.04148826136091352,0.16666666666666666,0.03233647184781848
kmeans,250,5,3,2,-475.15312356886625,"[[1.         0.5138224  1.        ]
 [1.         1.         1.        ]
 [1.         1.         1.        ]
 [0.39192953 1.         1.        ]
 [1.         0.51894154 1.        ]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [1 1 1]
 [1 2 2]]",[0.316 0.152 0.184 0.092 0.256],5.733842849731445,0.1493014114344863,0.6666666666666666,0.42335278035572227
