init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,0,250,3,3,2,-477.6780370243448,"[[0.66803841 0.43072702 0.30178326]
 [0.15363512 0.18655693 0.54183813]
 [0.76406036 0.76406036 0.0877915 ]]","[[1 2 2]
 [1 2 2]
 [2 2 2]]",[0.34832361 0.33528648 0.31638991],0.0307009220123291,0.10004770727327905,0.0,0.06942131126454222
random,1,250,3,3,2,-421.708479738239,"[[0.25788752 0.81344307 0.14266118]
 [0.66803841 0.9122085  0.89026063]
 [0.3648834  0.23593964 0.66529492]]","[[2 2 1]
 [1 2 2]
 [2 2 2]]",[0.29209488 0.35158881 0.35631631],0.03197002410888672,0.1255815537906254,0.0,0.12146690460617682
random,2,250,3,3,2,-474.85932940427875,"[[0.0877915  0.2085048  0.7914952 ]
 [0.04389575 0.51989026 0.66529492]
 [0.76406036 0.37585734 0.23593964]]","[[1 2 2]
 [2 1 2]
 [1 2 1]]",[0.38906478 0.37668576 0.23424946],0.01850605010986328,0.05547107346851795,0.16666666666666666,0.0659935224380616
random,3,250,3,3,2,-509.4245688884544,"[[0.43072702 0.0877915  0.04389575]
 [0.18655693 0.04389575 0.66803841]
 [0.10973937 0.54183813 0.25788752]]","[[1 2 2]
 [2 1 1]
 [1 2 2]]",[0.31658867 0.3347177  0.34869363],0.029803037643432617,0.11351606721177554,0.16666666666666666,0.03456084495384377
random,4,250,3,3,2,-505.78214882589066,"[[0.59122085 0.10973937 0.2085048 ]
 [0.66529492 0.84636488 0.2085048 ]
 [0.04389575 0.62414266 0.59122085]]","[[1 1 2]
 [2 2 1]
 [1 1 1]]",[0.34920873 0.26829727 0.382494  ],0.22126483917236328,0.044420286175712316,0.16666666666666666,0.11169732205459516
random,5,250,3,3,2,-506.7359077062504,"[[0.14266118 0.40877915 0.59122085]
 [0.15363512 0.95610425 0.62414266]
 [0.45816187 0.74211248 0.04389575]]","[[2 1 2]
 [2 1 1]
 [1 2 2]]",[0.43218058 0.27941018 0.28840924],0.21946096420288086,0.18396453255779308,0.16666666666666666,0.10331108119988001
random,6,250,3,3,2,-479.2214344706499,"[[0.85733882 0.3648834  0.43072702]
 [0.40877915 0.18655693 0.74211248]
 [0.95610425 0.56927298 0.54183813]]","[[2 1 1]
 [1 1 2]
 [1 1 2]]",[0.46199444 0.30290119 0.23510437],0.22012090682983398,0.25017279933798736,0.3333333333333333,0.12349748162257392
random,7,250,3,3,2,-504.54818842871657,"[[0.25788752 0.25788752 0.25788752]
 [0.45816187 0.04389575 0.51989026]
 [0.85733882 0.3648834  0.48010974]]","[[2 1 2]
 [1 2 2]
 [2 2 1]]",[0.3415986  0.33809514 0.32030626],0.025187015533447266,0.013194699028513446,0.0,0.044364341832451776
random,8,250,3,3,2,-444.65528003489294,"[[0.33196159 0.76406036 0.76406036]
 [0.45816187 0.74211248 0.9122085 ]
 [0.04389575 0.54183813 0.04389575]]","[[1 2 1]
 [2 1 2]
 [1 2 2]]",[0.14043221 0.62782647 0.23174132],0.021059036254882812,0.40665226219142175,0.5,0.07361548420985255
random,9,250,3,3,2,-454.30212363141186,"[[0.23593964 0.9122085  0.30178326]
 [0.14266118 0.51989026 0.6351166 ]
 [0.2085048  0.54183813 0.6351166 ]]","[[1 1 1]
 [2 1 1]
 [2 1 2]]",[0.37248201 0.34766339 0.2798546 ],0.01840496063232422,0.1365478226314667,0.0,0.06737666175580527
