init,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,250,3,3,2,-478.170136286143,"[[0.79442545 0.63281815 0.6798277 ]
 [0.86183111 0.6525132  0.72081971]
 [0.65113566 0.79662517 0.71967159]]","[[1 2 2]
 [2 2 2]
 [2 2 2]]",[0.40033608 0.24319003 0.35647389],0.1756119728088379,0.03908837758861499,0.16666666666666666,0.101129954185764
kmeans,250,3,3,2,-476.5907594923235,"[[0.75925127 0.9999956  0.9999956 ]
 [0.9999956  0.73440407 0.71877542]
 [0.9999956  0.73043506 0.7669568 ]]","[[1 1 1]
 [2 2 2]
 [1 2 2]]",[0.04992526 0.51198083 0.43809391],0.32524609565734863,0.27269558816940825,0.3333333333333333,0.10284682117375389
random,250,3,3,3,-720.6246945961367,"[[0.94463274 0.6648884  0.91796731]
 [0.67517948 0.66511644 0.96124002]
 [0.93067043 0.53086638 0.73070322]]","[[1 2 1]
 [2 2 3]
 [3 1 2]]",[0.42096137 0.46345209 0.11558654],0.6790881156921387,0.1567421797191877,0.2222222222222222,0.058068780526738056
kmeans,250,3,3,3,-721.3671688916626,"[[0.78725263 0.5402424  0.6759346 ]
 [0.95189363 0.66948488 0.91855482]
 [0.68470706 0.66702876 0.9999956 ]]","[[3 2 2]
 [1 2 1]
 [2 2 3]]",[0.17169757 0.41200626 0.41629618],0.6723551750183105,0.10928633313951404,0.5555555555555556,0.0838953134407957
random,250,3,5,2,-767.6115399454992,"[[0.72188252 0.56501856 0.51877617 0.73976736 0.54579421]
 [0.63600806 0.86666579 0.90488856 0.57373483 0.6914761 ]
 [0.9999122  0.56545545 0.89899148 0.75179748 0.8518788 ]]","[[2 2 2 1 1]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.24255733 0.42998781 0.32745486],0.6992452144622803,0.030561128113387615,0.1,0.04932990199582793
kmeans,250,3,5,2,-766.5860576414668,"[[0.99986775 0.57058147 0.88941574 0.70823543 0.85366904]
 [0.63988334 0.7362266  0.78287374 0.65241872 0.54894677]
 [0.6840993  0.96679391 0.86346257 0.9999956  0.99990175]]","[[2 1 1 2 1]
 [2 2 2 1 2]
 [2 2 2 2 2]]",[0.36356454 0.51795536 0.11848009],0.6539149284362793,0.10274057445573506,0.2,0.08234986039345527
random,250,3,5,3,-1139.2082726834458,"[[0.76655605 0.91073767 0.6149951  0.57252241 0.50401202]
 [0.91950982 0.93117962 0.93076243 0.98290266 0.91922931]
 [0.69984224 0.75944645 0.63275202 0.55761651 0.52628403]]","[[1 2 3 3 3]
 [3 1 3 1 1]
 [1 2 1 2 2]]",[0.28564925 0.3040719  0.41027885],0.8326301574707031,0.0866076986971179,0.2,0.019913885115271427
kmeans,250,3,5,3,-1134.7891279536545,"[[0.66602567 0.77098644 0.67528957 0.62449692 0.53593609]
 [0.81745086 0.89277618 0.65383646 0.66249117 0.50364439]
 [0.91566857 0.92129515 0.92516533 0.98276424 0.91544319]]","[[1 2 1 3 2]
 [1 2 3 2 3]
 [3 1 3 1 1]]",[0.38877447 0.29896113 0.31226441],0.6093132495880127,0.04535761088169023,0.26666666666666666,0.05239795093498358
random,250,5,3,2,-475.53626612420663,"[[0.92810513 0.68047478 0.62135157]
 [0.80376888 0.70152802 0.53343215]
 [0.82427372 0.860349   0.74950212]
 [0.55262863 0.94765579 0.74687953]
 [0.77807015 0.54291129 0.79798512]]","[[2 2 2]
 [1 2 2]
 [1 2 1]
 [1 2 2]
 [2 2 2]]",[0.15565587 0.20561954 0.18822173 0.25525354 0.19524932],0.4559197425842285,0.054804455600928254,0.6666666666666666,0.14788256839187722
kmeans,250,5,3,2,-475.3021568069812,"[[0.9999956  0.9999956  0.9999956 ]
 [0.9999956  0.9999956  0.9999956 ]
 [0.9999956  0.8740873  0.9999956 ]
 [0.64221887 0.9999956  0.75554901]
 [0.9999956  0.9999956  0.9999956 ]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [2 1 2]
 [1 2 2]]",[0.22400097 0.12399972 0.22423407 0.21176443 0.21600083],0.17144489288330078,0.07481704664920828,0.6666666666666666,0.1847788810569714
random,250,5,3,3,-724.2598644838056,"[[0.89769218 0.75735811 0.89827527]
 [0.68971394 0.83520198 0.75233204]
 [0.7639458  0.96815135 0.98276919]
 [0.80160509 0.96799375 0.71510327]
 [0.56020121 0.94911985 0.54155354]]","[[1 1 3]
 [3 3 3]
 [1 3 1]
 [1 2 1]
 [1 2 3]]",[0.18932737 0.20435505 0.22213173 0.20458213 0.17960372],0.8713369369506836,0.14649369425544018,0.4444444444444444,0.1030101843822987
kmeans,250,5,3,3,-732.2722029842344,"[[0.80687194 0.91651227 0.99836741]
 [0.93092417 0.63082001 0.76557451]
 [0.70179637 0.9999956  0.56061326]
 [0.62873494 0.97903219 0.65148198]
 [0.83672316 0.57654328 0.88265591]]","[[1 3 1]
 [1 2 3]
 [2 3 3]
 [1 2 1]
 [3 2 3]]",[0.19472954 0.27959612 0.14507378 0.27462698 0.10597357],0.7941577434539795,0.19197900965942916,0.4444444444444444,0.1770047306000126
random,250,5,5,2,-818.1862940110547,"[[0.61487967 0.88437981 0.62810146 0.72390304 0.64770762]
 [0.9007485  0.81003272 0.81684203 0.63190502 0.88731063]
 [0.63756987 0.91542308 0.54230818 0.79811084 0.74854966]
 [0.97875145 0.52838814 0.98155824 0.61980555 0.7657789 ]
 [0.786907   0.90973153 0.78237533 0.80474623 0.5513993 ]]","[[1 2 2 1 1]
 [1 1 1 1 2]
 [1 2 2 2 2]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.18134823 0.23442948 0.18798165 0.24476193 0.15147871],0.7789618968963623,0.0674803342121681,0.4,0.08428692156769486
kmeans,250,5,5,2,-818.4827711807633,"[[0.9999956  0.81402179 0.79517022 0.56229394 0.86138444]
 [0.9999956  0.9999956  0.78947547 0.9999956  0.73684667]
 [0.9999956  0.6880818  0.77992438 0.9999956  0.61053252]
 [0.9999956  0.90786227 0.54116158 0.54984438 0.50867009]
 [0.9999956  0.9999956  0.5313638  0.83808536 0.60723613]]","[[1 1 1 1 2]
 [2 2 2 2 2]
 [2 2 2 1 2]
 [1 2 2 2 2]
 [2 1 2 2 2]]",[0.24903375 0.15200027 0.16277039 0.23096598 0.20522962],0.5955629348754883,0.07895165511210606,0.4,0.1471490744913626
random,250,5,5,3,-1242.7473410509635,"[[0.71694668 0.82189551 0.7333701  0.85851316 0.87104924]
 [0.71315587 0.5896989  0.70297152 0.69855179 0.58181067]
 [0.96064664 0.58737041 0.80972191 0.57872055 0.97699979]
 [0.80438847 0.75207895 0.61462517 0.81473862 0.79861423]
 [0.89153182 0.63858053 0.74095657 0.63155495 0.73152315]]","[[1 2 1 2 2]
 [2 3 3 3 1]
 [3 1 3 1 1]
 [1 3 2 3 3]
 [1 2 2 1 2]]",[0.07981122 0.15669761 0.31021709 0.28337873 0.16989534],1.3449900150299072,0.12122527848356905,0.3333333333333333,0.06052687955503842
kmeans,250,5,5,3,-1244.4212799727172,"[[0.72090336 0.81951119 0.74527581 0.77420881 0.72197044]
 [0.70040902 0.72078886 0.87384808 0.5551192  0.94877268]
 [0.77176356 0.85023341 0.58554787 0.7780652  0.76024157]
 [0.94926434 0.63506975 0.79588181 0.55388962 0.97253459]
 [0.77929592 0.7432296  0.59287306 0.63723023 0.81174685]]","[[1 1 2 3 3]
 [3 3 3 1 1]
 [1 3 2 3 3]
 [3 1 3 1 1]
 [1 2 2 2 2]]",[0.09526975 0.091842   0.29130722 0.27647475 0.24510628],1.324713945388794,0.15473147366400222,0.26666666666666666,0.04849969834629988
random,50,3,3,2,-89.31529475130574,"[[0.78839175 0.8085329  0.92779552]
 [0.8909877  0.64794708 0.54968739]
 [0.74027737 0.79402286 0.70272487]]","[[1 2 2]
 [2 2 1]
 [2 2 2]]",[0.38033946 0.27069421 0.34896634],0.08628416061401367,0.0569861919591294,0.16666666666666666,0.09213805161705874
kmeans,50,3,3,2,-87.87982089316247,"[[0.5833336  0.9999956  0.5833336 ]
 [0.9999956  0.9999956  0.93749905]
 [0.9999956  0.9999956  0.63636361]]","[[2 1 2]
 [1 2 2]
 [2 2 2]]",[0.24 0.32 0.44],0.016230106353759766,0.14597909736419826,0.16666666666666666,0.15474653536111954
