init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,0,250,3,3,2,-477.93598776691454,"[[0.7924507  0.61824822 0.68055398]
 [0.86256352 0.66009531 0.68217009]
 [0.64657818 0.80681165 0.74503439]]","[[1 2 2]
 [2 2 2]
 [2 2 2]]",[0.39854646 0.24297339 0.35848015],0.0310361385345459,0.04028145740059939,0.16666666666666666,0.10234072742368766
random,1,250,3,3,2,-435.47194871641125,"[[0.64304119 0.60109267 0.766225  ]
 [0.52529791 0.77344544 0.53720943]
 [0.63306691 0.97435716 0.84194304]]","[[2 2 2]
 [1 2 2]
 [1 2 2]]",[0.26553625 0.29500873 0.43945502],0.03075718879699707,0.0858109668644671,0.16666666666666666,0.09623870852819404
random,2,250,3,3,2,-470.1855370950157,"[[0.91248012 0.72495778 0.58426835]
 [0.74220063 0.54858981 0.69337865]
 [0.59825798 0.90615768 0.92081896]]","[[1 2 2]
 [2 1 2]
 [1 1 2]]",[0.40626288 0.22873116 0.36500596],0.03013300895690918,0.1541074749445028,0.16666666666666666,0.12404877254817648
random,3,250,3,3,2,-513.4063297708421,"[[0.53488563 0.59965349 0.61601436]
 [0.80462054 0.94437616 0.69000669]
 [0.75099182 0.54236848 0.66303908]]","[[2 1 1]
 [2 2 1]
 [1 2 2]]",[0.39738655 0.20407861 0.39853484],0.03171277046203613,0.13085741475757182,0.16666666666666666,0.1118495948876964
random,4,250,3,3,2,-507.2077111663971,"[[0.81257878 0.5018079  0.62434485]
 [0.97729797 0.69388081 0.53395789]
 [0.61154517 0.51409743 0.70026643]]","[[2 2 1]
 [1 1 1]
 [2 1 1]]",[0.33736356 0.35231696 0.31031948],0.030672788619995117,0.09253663241308922,0.3333333333333333,0.10028557741489728
random,5,250,3,3,2,-496.6970090180373,"[[0.88495203 0.55334241 0.5496285 ]
 [0.53958229 0.51725381 0.83066917]
 [0.68579174 0.99423138 0.5458512 ]]","[[1 2 1]
 [2 2 2]
 [2 1 1]]",[0.29783746 0.32665623 0.37550631],0.0302121639251709,0.2735266155549785,0.5,0.11811292176547951
random,6,250,3,3,2,-470.40539041377247,"[[0.92695183 0.66563496 0.72789859]
 [0.50316382 0.61192578 0.74258124]
 [0.96661302 0.74474893 0.97229355]]","[[2 1 1]
 [1 1 2]
 [1 1 2]]",[0.4164318 0.2990071 0.2845611],0.030602216720581055,0.21979770563226328,0.3333333333333333,0.09995804494220273
random,7,250,3,3,2,-505.3467770387906,"[[0.75125609 0.60639816 0.53720943]
 [0.50884323 0.96336148 0.54361735]
 [0.56281528 0.72345913 0.69471339]]","[[2 2 2]
 [2 1 2]
 [2 2 2]]",[0.4176998  0.32404525 0.25825495],0.030049800872802734,0.05817046518351515,0.3333333333333333,0.11177967226845886
random,8,250,3,3,2,-456.79261140184485,"[[0.61263348 0.84165758 0.80935103]
 [0.62011558 0.80381769 0.89727487]
 [0.85244957 0.8096127  0.80267735]]","[[1 2 1]
 [2 1 2]
 [2 1 2]]",[0.2380096  0.45507623 0.30691417],0.030020713806152344,0.2988321983450611,0.5,0.07659602146398488
random,9,250,3,3,2,-455.09535493187286,"[[0.55779153 0.71948666 0.59861481]
 [0.78032304 0.85904622 0.73790911]
 [0.98121186 0.8415208  0.58803727]]","[[1 1 1]
 [1 1 1]
 [2 1 1]]",[0.29700138 0.37969931 0.32329931],0.030730009078979492,0.16551096063423928,0.16666666666666666,0.09708405770563718
